dates,nee_budburst-10,nee_budburst-5,nee_budburst+0,nee_budburst+5,nee_budburst+10
2009-01-01 00:00:00,1.9207462072372437,1.9207462072372437,1.9207462072372437,1.9207462072372437,1.9207462072372437
2009-01-02 00:00:00,1.9599313735961914,1.9599329233169556,1.959933876991272,1.9599343538284302,1.9599347114562988
2009-01-03 00:00:00,1.6377254724502563,1.6377315521240234,1.63773512840271,1.6377373933792114,1.6377387046813965
2009-01-04 00:00:00,1.7011537551879883,1.7011570930480957,1.7011591196060181,1.7011603116989136,1.7011611461639404
2009-01-05 00:00:00,1.8504524230957031,1.8504588603973389,1.850462794303894,1.8504651784896851,1.8504666090011597
2009-01-06 00:00:00,1.5483498573303223,1.5483680963516235,1.5483789443969727,1.5483856201171875,1.5483896732330322
2009-01-07 00:00:00,1.7571762800216675,1.7571845054626465,1.7571893930435181,1.7571922540664673,1.7571941614151001
2009-01-08 00:00:00,1.909028172492981,1.9090474843978882,1.9090591669082642,1.9090662002563477,1.9090704917907715
2009-01-09 00:00:00,1.6144654750823975,1.6144809722900391,1.614490270614624,1.6144958734512329,1.6144992113113403
2009-01-10 00:00:00,1.6680585145950317,1.6680728197097778,1.6680814027786255,1.6680865287780762,1.668089747428894
2009-01-11 00:00:00,2.2148072719573975,2.2148425579071045,2.2148635387420654,2.2148761749267578,2.2148840427398682
2009-01-12 00:00:00,2.5848286151885986,2.5848352909088135,2.5848391056060791,2.5848414897918701,2.5848429203033447
2009-01-13 00:00:00,2.3946459293365479,2.3946835994720459,2.3947062492370605,2.3947198390960693,2.3947281837463379
2009-01-14 00:00:00,2.0408048629760742,2.0408573150634766,2.0408885478973389,2.0409073829650879,2.0409188270568848
2009-01-15 00:00:00,2.3342940807342529,2.3343260288238525,2.3343448638916016,2.3343563079833984,2.3343632221221924
2009-01-16 00:00:00,2.4260311126708984,2.4260590076446533,2.4260754585266113,2.4260854721069336,2.4260914325714111
2009-01-17 00:00:00,2.4488558769226074,2.448951244354248,2.4490082263946533,2.4490423202514648,2.4490628242492676
2009-01-18 00:00:00,2.209536075592041,2.2096462249755859,2.2097117900848389,2.2097511291503906,2.2097749710083008
2009-01-19 00:00:00,2.2169787883758545,2.217043399810791,2.2170817852020264,2.2171049118041992,2.2171187400817871
2009-01-20 00:00:00,2.0903961658477783,2.0904991626739502,2.0905604362487793,2.0905971527099609,2.0906193256378174
2009-01-21 00:00:00,2.018179178237915,2.0183639526367188,2.0184741020202637,2.0185401439666748,2.0185797214508057
2009-01-22 00:00:00,2.4144735336303711,2.4145731925964355,2.4146325588226318,2.414668083190918,2.414689302444458
2009-01-23 00:00:00,2.1754543781280518,2.1756229400634766,2.1757235527038574,2.175783634185791,2.1758196353912354
2009-01-24 00:00:00,1.9682337045669556,1.9684736728668213,1.9686169624328613,1.9687025547027588,1.9687539339065552
2009-01-25 00:00:00,2.372748851776123,2.3728384971618652,2.3728921413421631,2.3729240894317627,2.3729434013366699
2009-01-26 00:00:00,2.2235696315765381,2.2237350940704346,2.2238340377807617,2.2238929271697998,2.2239284515380859
2009-01-27 00:00:00,1.9309715032577515,1.9313297271728516,1.9315440654754639,1.9316720962524414,1.9317487478256226
2009-01-28 00:00:00,2.4099078178405762,2.409977912902832,2.4100198745727539,2.4100449085235596,2.410059928894043
2009-01-29 00:00:00,2.078125,2.0784814357757568,2.0786950588226318,2.0788228511810303,2.0788993835449219
2009-01-30 00:00:00,2.085582971572876,2.0860912799835205,2.0863962173461914,2.0865786075592041,2.0866878032684326
2009-01-31 00:00:00,2.0586934089660645,2.0591201782226562,2.0593764781951904,2.0595300197601318,2.0596215724945068
2009-02-01 00:00:00,1.8343938589096069,1.8347429037094116,1.8349529504776001,1.8350787162780762,1.8351538181304932
2009-02-02 00:00:00,1.8038252592086792,1.8040443658828735,1.8041764497756958,1.8042556047439575,1.8043029308319092
2009-02-03 00:00:00,1.8380001783370972,1.8385041952133179,1.838808536529541,1.8389909267425537,1.8391000032424927
2009-02-04 00:00:00,1.8404389619827271,1.8416304588317871,1.8423510789871216,1.8427836894989014,1.8430424928665161
2009-02-05 00:00:00,1.9485546350479126,1.9490538835525513,1.9493563175201416,1.949537992477417,1.9496468305587769
2009-02-06 00:00:00,1.9873390197753906,1.9875754117965698,1.9877188205718994,1.9878052473068237,1.9878568649291992
2009-02-07 00:00:00,1.7460304498672485,1.74773108959198,1.7487661838531494,1.7493900060653687,1.7497639656066895
2009-02-08 00:00:00,1.8687769174575806,1.8703685998916626,1.8713396787643433,1.8719258308410645,1.8722774982452393
2009-02-09 00:00:00,2.1944997310638428,2.1949245929718018,2.1951844692230225,2.1953415870666504,2.1954357624053955
2009-02-10 00:00:00,1.960363507270813,1.962410569190979,1.9636660814285278,1.9644267559051514,1.9648840427398682
2009-02-11 00:00:00,1.8336294889450073,1.8365427255630493,1.8383349180221558,1.8394232988357544,1.8400784730911255
2009-02-12 00:00:00,1.831367015838623,1.8338496685028076,1.8353815078735352,1.8363137245178223,1.8368755578994751
2009-02-13 00:00:00,2.0099930763244629,2.0130186080932617,2.0148913860321045,2.0160338878631592,2.0167236328125
2009-02-14 00:00:00,1.769631028175354,1.7740235328674316,1.7767531871795654,1.7784227132797241,1.7794326543807983
2009-02-15 00:00:00,2.1952810287475586,2.1981368064880371,2.1999168395996094,2.2010080814361572,2.201669454574585
2009-02-16 00:00:00,2.2743875980377197,2.2789266109466553,2.2817673683166504,2.2835147380828857,2.2845754623413086
