dates,DALEC2_nee,gap_filled_nee,assimilated_nee
2009-01-01 00:00:00,1.9207462072372437,1.3129907846450806,nan
2009-01-02 00:00:00,1.959933876991272,0.9505239725112915,nan
2009-01-03 00:00:00,1.63773512840271,1.3104124069213867,nan
2009-01-04 00:00:00,1.7011591196060181,0.45156809687614441,nan
2009-01-05 00:00:00,1.850462794303894,1.2711272239685059,nan
2009-01-06 00:00:00,1.5483789443969727,1.1173198223114014,nan
2009-01-07 00:00:00,1.7571893930435181,1.2130814790725708,nan
2009-01-08 00:00:00,1.9090591669082642,0.94545596837997437,nan
2009-01-09 00:00:00,1.614490270614624,0.97739112377166748,nan
2009-01-10 00:00:00,1.6680814027786255,0.77401572465896606,nan
2009-01-11 00:00:00,2.2148635387420654,1.362723708152771,nan
2009-01-12 00:00:00,2.5848391056060791,1.9628371000289917,nan
2009-01-13 00:00:00,2.3947062492370605,1.337544322013855,nan
2009-01-14 00:00:00,2.0408885478973389,1.8441848754882812,nan
2009-01-15 00:00:00,2.3343448638916016,2.1468575000762939,nan
2009-01-16 00:00:00,2.4260754585266113,2.7179467678070068,2.8559999465942383
2009-01-17 00:00:00,2.4490082263946533,1.5530092716217041,nan
2009-01-18 00:00:00,2.2097117900848389,0.82645660638809204,1.5269999504089355
2009-01-19 00:00:00,2.2170817852020264,1.3957029581069946,nan
2009-01-20 00:00:00,2.0905604362487793,1.2709101438522339,nan
2009-01-21 00:00:00,2.0184741020202637,1.7256052494049072,nan
2009-01-22 00:00:00,2.4146325588226318,1.7917897701263428,nan
2009-01-23 00:00:00,2.1757235527038574,0.73966455459594727,nan
2009-01-24 00:00:00,1.9686169624328613,1.835087776184082,nan
2009-01-25 00:00:00,2.3728921413421631,1.6577261686325073,nan
2009-01-26 00:00:00,2.2238340377807617,1.3258621692657471,nan
2009-01-27 00:00:00,1.9315440654754639,1.2746543884277344,nan
2009-01-28 00:00:00,2.4100198745727539,1.9329284429550171,nan
2009-01-29 00:00:00,2.0786950588226318,2.0827333927154541,nan
2009-01-30 00:00:00,2.0863962173461914,0.97641825675964355,1.4151999950408936
2009-01-31 00:00:00,2.0593764781951904,1.1990742683410645,nan
2009-02-01 00:00:00,1.8349529504776001,1.2761921882629395,nan
2009-02-02 00:00:00,1.8041764497756958,0.92075443267822266,nan
2009-02-03 00:00:00,1.838808536529541,1.5461051464080811,2.0078999996185303
2009-02-04 00:00:00,1.8423510789871216,1.4149160385131836,1.4408999681472778
2009-02-05 00:00:00,1.9493563175201416,1.008928656578064,nan
2009-02-06 00:00:00,1.9877188205718994,1.1968743801116943,nan
2009-02-07 00:00:00,1.7487661838531494,0.94391328096389771,nan
2009-02-08 00:00:00,1.8713396787643433,1.1529209613800049,nan
2009-02-09 00:00:00,2.1951844692230225,0.97903168201446533,nan
2009-02-10 00:00:00,1.9636660814285278,1.0016034841537476,nan
2009-02-11 00:00:00,1.8383349180221558,1.348064661026001,nan
2009-02-12 00:00:00,1.8353815078735352,0.63281583786010742,nan
2009-02-13 00:00:00,2.0148913860321045,0.49776896834373474,nan
2009-02-14 00:00:00,1.7767531871795654,1.1024188995361328,nan
2009-02-15 00:00:00,2.1999168395996094,0.98388928174972534,nan
2009-02-16 00:00:00,2.2817673683166504,1.3090431690216064,nan
2009-02-17 00:00:00,2.4481892585754395,1.4524626731872559,nan
2009-02-18 00:00:00,2.4815571308135986,1.5882036685943604,nan
2009-02-19 00:00:00,2.343109130859375,0.96893882751464844,nan
2009-02-20 00:00:00,2.1692743301391602,1.0088828802108765,nan
2009-02-21 00:00:00,2.1720361709594727,1.2731608152389526,nan
2009-02-22 00:00:00,2.3582425117492676,1.1686047315597534,nan
2009-02-23 00:00:00,2.4590706825256348,1.0781532526016235,nan
2009-02-24 00:00:00,2.5458228588104248,1.4135184288024902,nan
2009-02-25 00:00:00,2.5349776744842529,1.5933423042297363,nan
2009-02-26 00:00:00,2.2764508724212646,1.302154541015625,nan
2009-02-27 00:00:00,2.2694940567016602,1.3326195478439331,nan
2009-02-28 00:00:00,2.3055860996246338,1.1543530225753784,nan
2009-03-01 00:00:00,2.1870684623718262,1.0917216539382935,nan
2009-03-02 00:00:00,1.9595849514007568,1.0717250108718872,nan
2009-03-03 00:00:00,2.3700494766235352,1.5127910375595093,nan
2009-03-04 00:00:00,1.7676820755004883,0.62109959125518799,nan
2009-03-05 00:00:00,1.9026119709014893,0.61869853734970093,nan
2009-03-06 00:00:00,1.7341599464416504,1.5132020711898804,nan
2009-03-07 00:00:00,2.1470601558685303,1.5386861562728882,1.7214000225067139
2009-03-08 00:00:00,1.9397741556167603,0.87081480026245117,1.0276000499725342
2009-03-09 00:00:00,1.8534445762634277,0.94081437587738037,nan
2009-03-10 00:00:00,2.2904822826385498,1.4161592721939087,nan
2009-03-11 00:00:00,1.9575179815292358,1.2875150442123413,nan
2009-03-12 00:00:00,2.4390068054199219,1.2615268230438232,nan
2009-03-13 00:00:00,2.2696018218994141,1.4254766702651978,nan
2009-03-14 00:00:00,2.1444947719573975,1.1162614822387695,nan
2009-03-15 00:00:00,1.8706818819046021,1.8051048517227173,nan
2009-03-16 00:00:00,1.7419707775115967,1.6154395341873169,nan
2009-03-17 00:00:00,1.7918534278869629,1.5850793123245239,nan
2009-03-18 00:00:00,1.7860819101333618,1.1405708789825439,nan
2009-03-19 00:00:00,1.5972583293914795,1.8279740810394287,nan
2009-03-20 00:00:00,1.5011130571365356,1.5618132352828979,nan
2009-03-21 00:00:00,1.5811831951141357,1.3891676664352417,nan
