Hourly Year,Year,Month,Day,Day,Houre,Day,Rtot
03-Apr-07,2007,4,3,92,24,93,1.26
03-Apr-07,2007,4,3,93,1,93,1.14
03-Apr-07,2007,4,3,93,2,93,1.17
03-Apr-07,2007,4,3,93,3,93.1,1.09
03-Apr-07,2007,4,3,93,4,93.1,1.03
03-Apr-07,2007,4,3,93,5,93.2,1.17
03-Apr-07,2007,4,3,93,6,93.2,1.03
03-Apr-07,2007,4,3,93,7,93.3,9999
03-Apr-07,2007,4,3,93,8,93.3,1.04
03-Apr-07,2007,4,3,93,9,93.3,1.1
03-Apr-07,2007,4,3,93,10,93.4,1.08
03-Apr-07,2007,4,3,93,11,93.4,9999
03-Apr-07,2007,4,3,93,12,93.5,1.04
03-Apr-07,2007,4,3,93,13,93.5,1.05
03-Apr-07,2007,4,3,93,14,93.5,1
03-Apr-07,2007,4,3,93,15,93.6,1.05
03-Apr-07,2007,4,3,93,16,93.6,1.08
03-Apr-07,2007,4,3,93,17,93.7,9999
03-Apr-07,2007,4,3,93,18,93.7,1.11
03-Apr-07,2007,4,3,93,19,93.8,1.06
03-Apr-07,2007,4,3,93,20,93.8,1.05
03-Apr-07,2007,4,3,93,21,93.8,1.13
03-Apr-07,2007,4,3,93,22,93.9,1.11
03-Apr-07,2007,4,3,93,23,93.9,1.14
04-Apr-07,2007,4,4,93,24,94,1.15
04-Apr-07,2007,4,4,94,1,94,1.14
04-Apr-07,2007,4,4,94,2,94,1.17
04-Apr-07,2007,4,4,94,3,94.1,9999
04-Apr-07,2007,4,4,94,4,94.1,1.15
04-Apr-07,2007,4,4,94,5,94.2,1.17
04-Apr-07,2007,4,4,94,6,94.2,1.07
04-Apr-07,2007,4,4,94,7,94.3,1.02
04-Apr-07,2007,4,4,94,8,94.3,0.92
04-Apr-07,2007,4,4,94,9,94.3,0.92
04-Apr-07,2007,4,4,94,10,94.4,0.96
04-Apr-07,2007,4,4,94,11,94.4,1
04-Apr-07,2007,4,4,94,12,94.5,1.08
04-Apr-07,2007,4,4,94,13,94.5,9999
04-Apr-07,2007,4,4,94,14,94.5,1.12
04-Apr-07,2007,4,4,94,15,94.6,1.17
04-Apr-07,2007,4,4,94,16,94.6,1.17
04-Apr-07,2007,4,4,94,17,94.7,1.21
04-Apr-07,2007,4,4,94,18,94.7,1.28
04-Apr-07,2007,4,4,94,19,94.8,1.26
04-Apr-07,2007,4,4,94,20,94.8,1.25
04-Apr-07,2007,4,4,94,21,94.8,1.28
04-Apr-07,2007,4,4,94,22,94.9,9999
04-Apr-07,2007,4,4,94,23,94.9,1.45
05-Apr-07,2007,4,5,94,24,95,1.13
05-Apr-07,2007,4,5,95,1,95,1.17
05-Apr-07,2007,4,5,95,2,95,1.12
05-Apr-07,2007,4,5,95,3,95.1,1.08
05-Apr-07,2007,4,5,95,4,95.1,1.03
05-Apr-07,2007,4,5,95,5,95.2,1.02
05-Apr-07,2007,4,5,95,6,95.2,1.04
05-Apr-07,2007,4,5,95,7,95.3,9999
05-Apr-07,2007,4,5,95,8,95.3,1.08
05-Apr-07,2007,4,5,95,9,95.3,1.06
05-Apr-07,2007,4,5,95,10,95.4,1.13
05-Apr-07,2007,4,5,95,11,95.4,1.21
05-Apr-07,2007,4,5,95,12,95.5,1.23
05-Apr-07,2007,4,5,95,13,95.5,1.46
05-Apr-07,2007,4,5,95,14,95.5,1.43
05-Apr-07,2007,4,5,95,15,95.6,1.62
05-Apr-07,2007,4,5,95,16,95.6,1.6
05-Apr-07,2007,4,5,95,17,95.7,1.65
05-Apr-07,2007,4,5,95,18,95.7,9999
05-Apr-07,2007,4,5,95,19,95.8,1.65
05-Apr-07,2007,4,5,95,20,95.8,1.58
05-Apr-07,2007,4,5,95,21,95.8,1.44
05-Apr-07,2007,4,5,95,22,95.9,1.41
05-Apr-07,2007,4,5,95,23,95.9,1.37
06-Apr-07,2007,4,6,95,24,96,1.29
06-Apr-07,2007,4,6,96,1,96,1.27
06-Apr-07,2007,4,6,96,2,96,1.24
06-Apr-07,2007,4,6,96,3,96.1,1.19
06-Apr-07,2007,4,6,96,4,96.1,9999
06-Apr-07,2007,4,6,96,5,96.2,1.18
06-Apr-07,2007,4,6,96,6,96.2,1.2
06-Apr-07,2007,4,6,96,7,96.3,1.29
06-Apr-07,2007,4,6,96,8,96.3,1.13
06-Apr-07,2007,4,6,96,9,96.3,1.2
06-Apr-07,2007,4,6,96,10,96.4,1.24
06-Apr-07,2007,4,6,96,11,96.4,1.36
06-Apr-07,2007,4,6,96,12,96.5,1.44
06-Apr-07,2007,4,6,96,13,96.5,1.64
06-Apr-07,2007,4,6,96,14,96.5,9999
06-Apr-07,2007,4,6,96,15,96.6,1.54
06-Apr-07,2007,4,6,96,16,96.6,1.62
06-Apr-07,2007,4,6,96,17,96.7,1.84
06-Apr-07,2007,4,6,96,18,96.7,1.73
06-Apr-07,2007,4,6,96,19,96.8,1.71
06-Apr-07,2007,4,6,96,20,96.8,1.65
06-Apr-07,2007,4,6,96,21,96.8,1.59
06-Apr-07,2007,4,6,96,22,96.9,1.45
06-Apr-07,2007,4,6,96,23,96.9,1.43
07-Apr-07,2007,4,7,96,24,97,9999
07-Apr-07,2007,4,7,97,1,97,1.36
07-Apr-07,2007,4,7,97,2,97,1.32
07-Apr-07,2007,4,7,97,3,97.1,1.29
07-Apr-07,2007,4,7,97,4,97.1,1.26
07-Apr-07,2007,4,7,97,5,97.2,1.19
07-Apr-07,2007,4,7,97,6,97.2,1.25
07-Apr-07,2007,4,7,97,7,97.3,1.29
07-Apr-07,2007,4,7,97,8,97.3,1.2
07-Apr-07,2007,4,7,97,9,97.3,9999
07-Apr-07,2007,4,7,97,10,97.4,1.2
07-Apr-07,2007,4,7,97,11,97.4,1.32
07-Apr-07,2007,4,7,97,12,97.5,1.33
07-Apr-07,2007,4,7,97,13,97.5,1.43
07-Apr-07,2007,4,7,97,14,97.5,1.4
07-Apr-07,2007,4,7,97,15,97.6,1.4
07-Apr-07,2007,4,7,97,16,97.6,1.65
07-Apr-07,2007,4,7,97,17,97.7,1.69
07-Apr-07,2007,4,7,97,18,97.7,1.56
07-Apr-07,2007,4,7,97,19,97.8,1.57
07-Apr-07,2007,4,7,97,20,97.8,9999
07-Apr-07,2007,4,7,97,21,97.8,1.46
07-Apr-07,2007,4,7,97,22,97.9,1.46
07-Apr-07,2007,4,7,97,23,97.9,1.37
08-Apr-07,2007,4,8,97,24,98,1.3
08-Apr-07,2007,4,8,98,1,98,1.28
08-Apr-07,2007,4,8,98,2,98,1.25
08-Apr-07,2007,4,8,98,3,98.1,1.23
08-Apr-07,2007,4,8,98,4,98.1,1.15
08-Apr-07,2007,4,8,98,5,98.2,9999
08-Apr-07,2007,4,8,98,6,98.2,1.15
08-Apr-07,2007,4,8,98,7,98.3,1.2
08-Apr-07,2007,4,8,98,8,98.3,1.13
08-Apr-07,2007,4,8,98,9,98.3,1.26
08-Apr-07,2007,4,8,98,10,98.4,1.23
08-Apr-07,2007,4,8,98,11,98.4,1.36
08-Apr-07,2007,4,8,98,12,98.5,1.43
08-Apr-07,2007,4,8,98,13,98.5,1.39
08-Apr-07,2007,4,8,98,14,98.5,1.75
08-Apr-07,2007,4,8,98,15,98.6,9999
08-Apr-07,2007,4,8,98,16,98.6,1.78
08-Apr-07,2007,4,8,98,17,98.7,1.83
08-Apr-07,2007,4,8,98,18,98.7,1.67
08-Apr-07,2007,4,8,98,19,98.8,1.7
08-Apr-07,2007,4,8,98,20,98.8,1.71
08-Apr-07,2007,4,8,98,21,98.8,1.54
08-Apr-07,2007,4,8,98,22,98.9,1.46
08-Apr-07,2007,4,8,98,23,98.9,1.47
09-Apr-07,2007,4,9,98,24,99,1.36
09-Apr-07,2007,4,9,99,1,99,9999
09-Apr-07,2007,4,9,99,2,99,1.41
09-Apr-07,2007,4,9,99,3,99.1,1.34
09-Apr-07,2007,4,9,99,4,99.1,1.32
09-Apr-07,2007,4,9,99,5,99.2,1.33
09-Apr-07,2007,4,9,99,6,99.2,1.23
09-Apr-07,2007,4,9,99,7,99.3,1.28
09-Apr-07,2007,4,9,99,8,99.3,1.33
09-Apr-07,2007,4,9,99,9,99.3,1.34
09-Apr-07,2007,4,9,99,10,99.4,1.33
09-Apr-07,2007,4,9,99,11,99.4,9999
09-Apr-07,2007,4,9,99,12,99.5,1.43
09-Apr-07,2007,4,9,99,13,99.5,1.55
09-Apr-07,2007,4,9,99,14,99.5,1.79
09-Apr-07,2007,4,9,99,15,99.6,1.58
09-Apr-07,2007,4,9,99,16,99.6,1.92
09-Apr-07,2007,4,9,99,17,99.7,2.26
09-Apr-07,2007,4,9,99,18,99.7,2.13
09-Apr-07,2007,4,9,99,19,99.8,2.09
09-Apr-07,2007,4,9,99,20,99.8,2.12
09-Apr-07,2007,4,9,99,21,99.8,2.02
09-Apr-07,2007,4,9,99,22,99.9,9999
09-Apr-07,2007,4,9,99,23,99.9,1.99
10-Apr-07,2007,4,10,99,24,100,2
10-Apr-07,2007,4,10,100,1,100,2.16
10-Apr-07,2007,4,10,100,2,100,2.02
10-Apr-07,2007,4,10,100,3,100.1,2.1
10-Apr-07,2007,4,10,100,4,100.1,1.98
10-Apr-07,2007,4,10,100,5,100.2,1.82
10-Apr-07,2007,4,10,100,6,100.2,1.7
10-Apr-07,2007,4,10,100,7,100.3,1.68
10-Apr-07,2007,4,10,100,8,100.3,9999
10-Apr-07,2007,4,10,100,9,100.3,1.56
10-Apr-07,2007,4,10,100,10,100.4,1.56
10-Apr-07,2007,4,10,100,11,100.4,1.72
10-Apr-07,2007,4,10,100,12,100.5,1.74
10-Apr-07,2007,4,10,100,13,100.5,1.72
10-Apr-07,2007,4,10,100,14,100.5,2.04
10-Apr-07,2007,4,10,100,15,100.6,2.06
10-Apr-07,2007,4,10,100,16,100.6,2.31
10-Apr-07,2007,4,10,100,17,100.7,2.16
10-Apr-07,2007,4,10,100,18,100.7,9999
10-Apr-07,2007,4,10,100,19,100.8,2.19
10-Apr-07,2007,4,10,100,20,100.8,2.16
10-Apr-07,2007,4,10,100,21,100.8,2.02
10-Apr-07,2007,4,10,100,22,100.9,1.94
10-Apr-07,2007,4,10,100,23,100.9,2.07
11-Apr-07,2007,4,11,100,24,101,2.14
11-Apr-07,2007,4,11,101,1,101,2.05
11-Apr-07,2007,4,11,101,2,101,2.12
11-Apr-07,2007,4,11,101,3,101.1,1.88
11-Apr-07,2007,4,11,101,4,101.1,9999
11-Apr-07,2007,4,11,101,5,101.2,1.68
11-Apr-07,2007,4,11,101,6,101.2,1.71
11-Apr-07,2007,4,11,101,7,101.3,1.69
11-Apr-07,2007,4,11,101,8,101.3,1.56
11-Apr-07,2007,4,11,101,9,101.3,1.61
11-Apr-07,2007,4,11,101,10,101.4,1.66
11-Apr-07,2007,4,11,101,11,101.4,1.74
11-Apr-07,2007,4,11,101,12,101.5,1.72
11-Apr-07,2007,4,11,101,13,101.5,1.74
11-Apr-07,2007,4,11,101,14,101.5,1.83
11-Apr-07,2007,4,11,101,15,101.6,9999
11-Apr-07,2007,4,11,101,16,101.6,2.12
11-Apr-07,2007,4,11,101,17,101.7,2.16
11-Apr-07,2007,4,11,101,18,101.7,2.1
11-Apr-07,2007,4,11,101,19,101.8,2.24
11-Apr-07,2007,4,11,101,20,101.8,2.02
11-Apr-07,2007,4,11,101,21,101.8,1.95
11-Apr-07,2007,4,11,101,22,101.9,1.79
11-Apr-07,2007,4,11,101,23,101.9,1.8
12-Apr-07,2007,4,12,101,24,102,1.66
12-Apr-07,2007,4,12,102,1,102,9999
12-Apr-07,2007,4,12,102,2,102,1.65
12-Apr-07,2007,4,12,102,3,102.1,1.62
12-Apr-07,2007,4,12,102,4,102.1,1.58
12-Apr-07,2007,4,12,102,5,102.2,1.56
12-Apr-07,2007,4,12,102,6,102.2,1.59
12-Apr-07,2007,4,12,102,7,102.3,1.45
12-Apr-07,2007,4,12,102,8,102.3,9999
12-Apr-07,2007,4,12,102,9,102.3,1.6
12-Apr-07,2007,4,12,102,10,102.4,1.61
12-Apr-07,2007,4,12,102,11,102.4,1.78
12-Apr-07,2007,4,12,102,12,102.5,1.79
12-Apr-07,2007,4,12,102,13,102.5,1.78
12-Apr-07,2007,4,12,102,14,102.5,1.89
12-Apr-07,2007,4,12,102,15,102.6,9999
12-Apr-07,2007,4,12,102,16,102.6,1.9
12-Apr-07,2007,4,12,102,17,102.7,2.06
12-Apr-07,2007,4,12,102,18,102.7,2.01
12-Apr-07,2007,4,12,102,19,102.8,2.2
12-Apr-07,2007,4,12,102,20,102.8,2
12-Apr-07,2007,4,12,102,21,102.8,1.96
12-Apr-07,2007,4,12,102,22,102.9,1.95
12-Apr-07,2007,4,12,102,23,102.9,1.96
13-Apr-07,2007,4,13,102,24,103,1.86
13-Apr-07,2007,4,13,103,1,103,9999
13-Apr-07,2007,4,13,103,2,103,1.94
13-Apr-07,2007,4,13,103,3,103.1,1.85
13-Apr-07,2007,4,13,103,4,103.1,1.8
13-Apr-07,2007,4,13,103,5,103.2,1.82
13-Apr-07,2007,4,13,103,6,103.2,1.79
13-Apr-07,2007,4,13,103,7,103.3,1.74
13-Apr-07,2007,4,13,103,8,103.3,1.56
