date_combined,co2_flux(µmol/s/m^2),qc_co2_flux,Rg(W/m^2),Tair(degC)
36161.0,2.762660092,0.0,-3.0,8.3
36161.020833333336,4.51541290906217,0.0,-2.0,8.3
36161.041666666664,2.96168566646279,0.0,-1.0,8.6
36161.0625,2.93394242019556,0.0,-5.0,8.4
36161.083333333336,2.84953832968429,0.0,-4.0,8.4
36161.104166666664,2.8343394687808,0.0,-1.0,8.6
36161.125,3.33677364508346,0.0,0.0,8.7
36161.145833333336,3.61987652859639,0.0,2.0,8.9
36161.166666666664,2.15019484883421,0.0,-1.0,8.8
36161.1875,3.17021169562761,0.0,-1.0,8.6
36161.208333333336,2.57328015925823,0.0,3.0,8.2
36161.229166666664,2.70972085239447,0.0,3.0,8.1
36161.25,3.13023672049682,0.0,4.0,8.0
36161.270833333336,2.76174091261233,0.0,1.0,7.8
36161.291666666664,2.17669181337931,0.0,1.0,7.7
36161.3125,2.4598471990496,0.0,2.0,7.9
36161.333333333336,3.91676322921841,0.0,3.0,8.0
36161.354166666664,2.80286919492444,0.0,8.0,8.1
36161.375,2.34015515616621,0.0,20.0,8.3
36161.395833333336,2.54262912253758,0.0,32.0,8.4
36161.416666666664,2.97574909969673,0.0,57.0,8.5
36161.4375,2.65743384872646,0.0,98.0,8.7
36161.458333333336,1.03682742982955,0.0,109.0,8.9
36161.479166666664,1.10804768571838,0.0,185.0,9.1
36161.5,0.885045542554209,0.0,159.0,9.1
36161.520833333336,1.14697857737895,0.0,137.0,9.1
36161.541666666664,1.20372722118538,0.0,204.0,9.6
36161.5625,0.59059622695526,0.0,192.0,9.5
36161.583333333336,-0.698056131161619,0.0,134.0,9.2
36161.604166666664,2.51000771232179,0.0,113.0,9.0
36161.625,1.85393972890512,0.0,62.0,8.7
36161.645833333336,2.65841965617184,0.0,31.0,8.5
36161.666666666664,2.52698462140571,0.0,15.0,8.3
36161.6875,2.3615613061015,0.0,5.0,7.9
