date_combined,co2_flux(µmol/s/m^2),qc_co2_flux,Rg(W/m^2),Tair(degC)
37622.0,N/A,N/A,-1.0,5.4
37987.020833333336,3.22535458563751,0.0,-1.0,5.4
37987.041666666664,4.40774370187736,0.0,-1.0,4.3
37987.0625,4.25424131690694,0.0,0.0,3.2
37987.083333333336,-2.25269360585071,1.0,0.0,2.6
37987.104166666664,4.59603494141396,0.0,0.0,2.4
37987.125,5.44107470811397,0.0,0.0,3.1
37987.145833333336,2.94289909224575,0.0,0.0,3.4
37987.166666666664,3.07898476732124,0.0,-1.0,4.1
37987.1875,-3.38217288587088,1.0,-1.0,4.0
37987.208333333336,2.50370039518944,0.0,0.0,4.1
37987.229166666664,2.62256964105745,0.0,0.0,4.0
37987.25,3.09539402449733,0.0,0.0,4.2
37987.270833333336,3.00090404696676,0.0,-1.0,4.5
37987.291666666664,2.49064001766629,0.0,0.0,4.7
37987.3125,1.79039936792396,0.0,0.0,4.7
37987.333333333336,0.664447997987878,0.0,1.0,4.7
37987.354166666664,0.0654183285080719,1.0,14.0,4.5
37987.375,-0.326887771298554,2.0,59.0,5.4
37987.395833333336,0.731425719325485,1.0,51.0,4.6
37987.416666666664,-0.900592366471717,1.0,51.0,5.2
37987.4375,2.20860716395463,1.0,63.0,5.7
37987.458333333336,-0.340417281158296,2.0,99.0,6.2
37987.479166666664,0.713022303802907,0.0,101.0,6.6
37987.5,2.62120778990647,0.0,67.0,7.4
37987.520833333336,-0.593588689236605,1.0,68.0,7.4
37987.541666666664,0.666848956434342,0.0,64.0,7.6
37987.5625,0.593984868195788,0.0,66.0,7.8
37987.583333333336,0.863135335860447,1.0,69.0,7.6
37987.604166666664,0.488827899653512,0.0,40.0,7.8
37987.625,1.47401252821821,0.0,21.0,7.8
37987.645833333336,1.60364671722662,0.0,15.0,7.8
37987.666666666664,1.30548438776837,1.0,2.0,7.8
37987.6875,2.4033106344133,0.0,-2.0,7.6
37987.708333333336,1.74311794690993,0.0,-2.0,7.6
37987.729166666664,2.77260394129608,0.0,-2.0,7.5
37987.75,3.19016878629718,0.0,-3.0,7.4
37987.770833333336,1.61067586996964,1.0,-2.0,7.2
37987.791666666664,2.36737646788165,0.0,-2.0,6.8
37987.8125,3.1005833765172,1.0,-2.0,6.8
37987.833333333336,1.92897886953876,0.0,-2.0,6.8
37987.854166666664,2.80205315715118,0.0,-2.0,6.7
37987.875,2.11241662815527,0.0,-2.0,6.7
37987.895833333336,3.34322382601217,0.0,-2.0,6.7
37987.916666666664,2.12510543574401,0.0,-2.0,6.2
37987.9375,1.43174261096195,0.0,-3.0,5.6
