year, month, date,day, t_mean, t_max, t_min, I, nee
1.999000000000000000e+03,2.000000000000000000e+00,3.000000000000000000e+00,3.400000000000000000e+01,7.358333333333333393e+00,9.900000000000000355e+00,4.400000000000000355e+00,2.745000000000000107e+00,nan
1.999000000000000000e+03,2.000000000000000000e+00,4.000000000000000000e+00,3.500000000000000000e+01,9.881249999999999645e+00,1.140000000000000036e+01,7.799999999999999822e+00,3.941999999999999726e+00,1.767437102485432510e+00
1.999000000000000000e+03,2.000000000000000000e+00,5.000000000000000000e+00,3.600000000000000000e+01,7.368750000000002132e+00,9.000000000000000000e+00,5.599999999999999645e+00,4.537799999999999834e+00,nan
1.999000000000000000e+03,2.000000000000000000e+00,6.000000000000000000e+00,3.700000000000000000e+01,6.335416666666667140e+00,7.799999999999999822e+00,4.599999999999999645e+00,4.699799999999999756e+00,1.341478733796818146e+00
1.999000000000000000e+03,2.000000000000000000e+00,7.000000000000000000e+00,3.800000000000000000e+01,2.437500000000000000e+00,5.599999999999999645e+00,-5.999999999999999778e-01,7.943399999999999572e+00,7.890238814714095605e-01
1.999000000000000000e+03,2.000000000000000000e+00,8.000000000000000000e+00,3.900000000000000000e+01,2.020833333333333093e-01,1.699999999999999956e+00,-1.600000000000000089e+00,2.449799999999999756e+00,nan
1.999000000000000000e+03,2.000000000000000000e+00,9.000000000000000000e+00,4.000000000000000000e+01,-7.583333333333333037e-01,2.600000000000000089e+00,-3.399999999999999911e+00,8.587799999999999656e+00,nan
1.999000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+01,4.100000000000000000e+01,4.083333333333332704e-01,3.700000000000000178e+00,-2.000000000000000000e+00,8.118000000000000327e+00,nan
1.999000000000000000e+03,2.000000000000000000e+00,1.100000000000000000e+01,4.200000000000000000e+01,1.179166666666666696e+00,4.299999999999999822e+00,-2.299999999999999822e+00,7.844399999999999373e+00,nan
1.999000000000000000e+03,2.000000000000000000e+00,1.200000000000000000e+01,4.300000000000000000e+01,3.404166666666666785e+00,7.099999999999999645e+00,1.300000000000000044e+00,4.980599999999999916e+00,nan
1.999000000000000000e+03,2.000000000000000000e+00,1.300000000000000000e+01,4.400000000000000000e+01,2.095833333333334103e+00,5.700000000000000178e+00,-4.799999999999999822e+00,8.872199999999999420e+00,nan
1.999000000000000000e+03,2.000000000000000000e+00,1.400000000000000000e+01,4.500000000000000000e+01,1.800000000000000044e+00,7.000000000000000000e+00,-5.599999999999999645e+00,3.972599999999999909e+00,nan
1.999000000000000000e+03,2.000000000000000000e+00,1.500000000000000000e+01,4.600000000000000000e+01,5.514583333333333393e+00,9.199999999999999289e+00,2.799999999999999822e+00,6.915599999999999525e+00,nan
1.999000000000000000e+03,2.000000000000000000e+00,1.600000000000000000e+01,4.700000000000000000e+01,6.725000000000000533e+00,8.099999999999999645e+00,5.000000000000000000e+00,9.297000000000000597e+00,1.362254393471177050e+00
1.999000000000000000e+03,2.000000000000000000e+00,1.700000000000000000e+01,4.800000000000000000e+01,6.304166666666668029e+00,9.000000000000000000e+00,4.099999999999999645e+00,5.905800000000000161e+00,nan
1.999000000000000000e+03,2.000000000000000000e+00,1.800000000000000000e+01,4.900000000000000000e+01,9.274999999999998579e+00,1.080000000000000071e+01,7.900000000000000355e+00,6.010200000000000209e+00,nan
1.999000000000000000e+03,2.000000000000000000e+00,1.900000000000000000e+01,5.000000000000000000e+01,1.068333333333333179e+01,1.259999999999999964e+01,8.599999999999999645e+00,4.577399999999999913e+00,nan
1.999000000000000000e+03,2.000000000000000000e+00,2.000000000000000000e+01,5.100000000000000000e+01,7.156250000000000000e+00,9.699999999999999289e+00,4.599999999999999645e+00,1.015019999999999989e+01,nan
1.999000000000000000e+03,2.000000000000000000e+00,2.100000000000000000e+01,5.200000000000000000e+01,7.456250000000001599e+00,1.000000000000000000e+01,2.700000000000000178e+00,6.121799999999999464e+00,nan
1.999000000000000000e+03,2.000000000000000000e+00,2.200000000000000000e+01,5.300000000000000000e+01,4.324999999999999289e+00,7.099999999999999645e+00,2.299999999999999822e+00,9.322200000000000486e+00,7.790201615999133855e-01
1.999000000000000000e+03,2.000000000000000000e+00,2.300000000000000000e+01,5.400000000000000000e+01,3.758333333333332416e+00,6.599999999999999645e+00,1.699999999999999956e+00,1.069200000000000017e+01,nan
1.999000000000000000e+03,2.000000000000000000e+00,2.400000000000000000e+01,5.500000000000000000e+01,4.183333333333334458e+00,5.200000000000000178e+00,6.999999999999999556e-01,3.225600000000000023e+00,nan
1.999000000000000000e+03,2.000000000000000000e+00,2.500000000000000000e+01,5.600000000000000000e+01,3.624999999999999556e+00,7.700000000000000178e+00,-2.200000000000000178e+00,5.936399999999999899e+00,nan
1.999000000000000000e+03,2.000000000000000000e+00,2.600000000000000000e+01,5.700000000000000000e+01,7.922916666666665719e+00,8.699999999999999289e+00,7.400000000000000355e+00,2.998800000000000132e+00,nan
1.999000000000000000e+03,2.000000000000000000e+00,2.700000000000000000e+01,5.800000000000000000e+01,7.231250000000000178e+00,9.800000000000000711e+00,4.900000000000000355e+00,1.022579999999999956e+01,nan
1.999000000000000000e+03,2.000000000000000000e+00,2.800000000000000000e+01,5.900000000000000000e+01,7.383333333333333748e+00,1.050000000000000000e+01,4.200000000000000178e+00,1.032840000000000025e+01,nan
1.999000000000000000e+03,3.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+01,1.090208333333333535e+01,1.190000000000000036e+01,9.599999999999999645e+00,4.913999999999999702e+00,nan
1.999000000000000000e+03,3.000000000000000000e+00,2.000000000000000000e+00,6.100000000000000000e+01,1.058750000000000213e+01,1.290000000000000036e+01,7.799999999999999822e+00,5.263199999999999434e+00,2.341288119446994997e+00
1.999000000000000000e+03,3.000000000000000000e+00,3.000000000000000000e+00,6.200000000000000000e+01,7.408333333333334103e+00,1.000000000000000000e+01,4.900000000000000355e+00,9.957599999999999341e+00,nan
1.999000000000000000e+03,3.000000000000000000e+00,4.000000000000000000e+00,6.300000000000000000e+01,4.731250000000001954e+00,6.799999999999999822e+00,2.000000000000000000e+00,6.445800000000000196e+00,nan
1.999000000000000000e+03,3.000000000000000000e+00,5.000000000000000000e+00,6.400000000000000000e+01,3.095833333333333659e+00,5.099999999999999645e+00,2.100000000000000089e+00,7.394400000000000084e+00,nan
1.999000000000000000e+03,3.000000000000000000e+00,6.000000000000000000e+00,6.500000000000000000e+01,3.133333333333332860e+00,7.000000000000000000e+00,6.999999999999999556e-01,1.111500000000000021e+01,nan
1.999000000000000000e+03,3.000000000000000000e+00,7.000000000000000000e+00,6.600000000000000000e+01,3.479166666666667407e+00,4.900000000000000355e+00,1.899999999999999911e+00,4.984199999999999520e+00,9.490470401052968352e-01
1.999000000000000000e+03,3.000000000000000000e+00,8.000000000000000000e+00,6.700000000000000000e+01,4.487499999999999822e+00,7.799999999999999822e+00,2.000000000000000000e+00,9.691200000000000259e+00,nan
1.999000000000000000e+03,3.000000000000000000e+00,9.000000000000000000e+00,6.800000000000000000e+01,4.054166666666666252e+00,8.599999999999999645e+00,-8.000000000000000444e-01,8.893800000000000594e+00,nan
1.999000000000000000e+03,3.000000000000000000e+00,1.000000000000000000e+01,6.900000000000000000e+01,1.947916666666666297e+00,7.400000000000000355e+00,-2.700000000000000178e+00,1.044359999999999999e+01,nan
1.999000000000000000e+03,3.000000000000000000e+00,1.100000000000000000e+01,7.000000000000000000e+01,4.695833333333333748e+00,9.800000000000000711e+00,-5.000000000000000000e-01,7.001999999999999780e+00,nan
1.999000000000000000e+03,3.000000000000000000e+00,1.200000000000000000e+01,7.100000000000000000e+01,9.404166666666670338e+00,1.440000000000000036e+01,5.099999999999999645e+00,8.274599999999999511e+00,nan
1.999000000000000000e+03,3.000000000000000000e+00,1.300000000000000000e+01,7.200000000000000000e+01,9.362500000000000711e+00,1.190000000000000036e+01,5.000000000000000000e+00,1.254420000000000002e+01,nan
1.999000000000000000e+03,3.000000000000000000e+00,1.400000000000000000e+01,7.300000000000000000e+01,6.150000000000001243e+00,1.240000000000000036e+01,-1.699999999999999956e+00,1.463759999999999906e+01,nan
1.999000000000000000e+03,3.000000000000000000e+00,1.500000000000000000e+01,7.400000000000000000e+01,6.539583333333335524e+00,1.330000000000000071e+01,-1.000000000000000056e-01,1.313279999999999959e+01,nan
1.999000000000000000e+03,3.000000000000000000e+00,1.600000000000000000e+01,7.500000000000000000e+01,7.808333333333333570e+00,1.509999999999999964e+01,-1.199999999999999956e+00,1.572119999999999962e+01,nan
1.999000000000000000e+03,3.000000000000000000e+00,1.700000000000000000e+01,7.600000000000000000e+01,1.098333333333333250e+01,1.900000000000000000e+01,2.100000000000000089e+00,1.530899999999999928e+01,nan
1.999000000000000000e+03,3.000000000000000000e+00,1.800000000000000000e+01,7.700000000000000000e+01,8.416666666666667851e+00,1.219999999999999929e+01,4.299999999999999822e+00,1.277820000000000000e+01,nan
1.999000000000000000e+03,3.000000000000000000e+00,1.900000000000000000e+01,7.800000000000000000e+01,6.685416666666668561e+00,9.500000000000000000e+00,3.700000000000000178e+00,9.662399999999999878e+00,nan
1.999000000000000000e+03,3.000000000000000000e+00,2.000000000000000000e+01,7.900000000000000000e+01,6.504166666666665542e+00,1.069999999999999929e+01,2.000000000000000111e-01,1.150919999999999987e+01,nan
1.999000000000000000e+03,3.000000000000000000e+00,2.100000000000000000e+01,8.000000000000000000e+01,7.487499999999999822e+00,1.109999999999999964e+01,5.299999999999999822e+00,9.572400000000000020e+00,nan
1.999000000000000000e+03,3.000000000000000000e+00,2.200000000000000000e+01,8.100000000000000000e+01,7.145833333333333037e+00,8.800000000000000711e+00,5.400000000000000355e+00,1.554659999999999975e+01,nan
1.999000000000000000e+03,3.000000000000000000e+00,2.300000000000000000e+01,8.200000000000000000e+01,1.055208333333333393e+01,1.380000000000000071e+01,8.300000000000000711e+00,1.706220000000000070e+01,nan
1.999000000000000000e+03,3.000000000000000000e+00,2.400000000000000000e+01,8.300000000000000000e+01,8.308333333333335347e+00,1.019999999999999929e+01,4.299999999999999822e+00,7.216199999999999726e+00,nan
1.999000000000000000e+03,3.000000000000000000e+00,2.500000000000000000e+01,8.400000000000000000e+01,6.616666666666666252e+00,1.069999999999999929e+01,5.000000000000000000e-01,5.804999999999999716e+00,nan
1.999000000000000000e+03,3.000000000000000000e+00,2.600000000000000000e+01,8.500000000000000000e+01,6.077083333333333393e+00,1.050000000000000000e+01,2.700000000000000178e+00,1.200239999999999974e+01,nan
1.999000000000000000e+03,3.000000000000000000e+00,2.700000000000000000e+01,8.600000000000000000e+01,5.818750000000001421e+00,1.330000000000000071e+01,-2.000000000000000000e+00,1.871460000000000079e+01,nan
1.999000000000000000e+03,3.000000000000000000e+00,2.800000000000000000e+01,8.700000000000000000e+01,7.170833333333334281e+00,1.269999999999999929e+01,-1.800000000000000044e+00,1.877939999999999898e+01,nan
1.999000000000000000e+03,3.000000000000000000e+00,2.900000000000000000e+01,8.800000000000000000e+01,9.941666666666666430e+00,1.180000000000000071e+01,8.599999999999999645e+00,6.371999999999999886e+00,nan
1.999000000000000000e+03,3.000000000000000000e+00,3.000000000000000000e+01,8.900000000000000000e+01,9.775000000000000355e+00,1.109999999999999964e+01,8.599999999999999645e+00,7.088400000000000034e+00,nan
1.999000000000000000e+03,3.000000000000000000e+00,3.100000000000000000e+01,9.000000000000000000e+01,1.261250000000000249e+01,1.719999999999999929e+01,8.900000000000000355e+00,1.752659999999999840e+01,nan
1.999000000000000000e+03,4.000000000000000000e+00,1.000000000000000000e+00,9.100000000000000000e+01,1.315416666666666856e+01,1.850000000000000000e+01,7.099999999999999645e+00,1.846259999999999835e+01,nan
1.999000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,9.200000000000000000e+01,1.089166666666667105e+01,1.480000000000000071e+01,6.900000000000000355e+00,1.728359999999999985e+01,nan
1.999000000000000000e+03,4.000000000000000000e+00,3.000000000000000000e+00,9.300000000000000000e+01,9.441666666666666430e+00,1.209999999999999964e+01,4.400000000000000355e+00,4.811399999999999899e+00,nan
1.999000000000000000e+03,4.000000000000000000e+00,4.000000000000000000e+00,9.400000000000000000e+01,1.204375000000000107e+01,1.530000000000000071e+01,8.800000000000000711e+00,1.050300000000000011e+01,nan
1.999000000000000000e+03,4.000000000000000000e+00,5.000000000000000000e+00,9.500000000000000000e+01,1.143749999999999467e+01,1.269999999999999929e+01,9.800000000000000711e+00,5.009400000000000297e+00,nan
1.999000000000000000e+03,4.000000000000000000e+00,6.000000000000000000e+00,9.600000000000000000e+01,1.183333333333333393e+01,1.650000000000000000e+01,8.199999999999999289e+00,1.322100000000000009e+01,nan
1.999000000000000000e+03,4.000000000000000000e+00,7.000000000000000000e+00,9.700000000000000000e+01,9.504166666666664653e+00,1.180000000000000071e+01,6.299999999999999822e+00,9.988199999999999079e+00,nan
1.999000000000000000e+03,4.000000000000000000e+00,8.000000000000000000e+00,9.800000000000000000e+01,1.141666666666666607e+01,1.580000000000000071e+01,5.700000000000000178e+00,1.804499999999999815e+01,nan
1.999000000000000000e+03,4.000000000000000000e+00,9.000000000000000000e+00,9.900000000000000000e+01,1.076249999999999751e+01,1.380000000000000071e+01,7.900000000000000355e+00,6.830999999999999517e+00,nan
1.999000000000000000e+03,4.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+02,9.447916666666664298e+00,1.380000000000000071e+01,6.200000000000000178e+00,1.049399999999999977e+01,nan
1.999000000000000000e+03,4.000000000000000000e+00,1.100000000000000000e+01,1.010000000000000000e+02,8.581249999999998934e+00,1.250000000000000000e+01,4.099999999999999645e+00,1.797660000000000124e+01,nan
1.999000000000000000e+03,4.000000000000000000e+00,1.200000000000000000e+01,1.020000000000000000e+02,8.629166666666666430e+00,1.119999999999999929e+01,6.700000000000000178e+00,1.284299999999999997e+01,nan
1.999000000000000000e+03,4.000000000000000000e+00,1.300000000000000000e+01,1.030000000000000000e+02,5.364583333333332149e+00,8.599999999999999645e+00,4.000000000000000222e-01,1.752659999999999840e+01,nan
1.999000000000000000e+03,4.000000000000000000e+00,1.400000000000000000e+01,1.040000000000000000e+02,2.497916666666666341e+00,7.000000000000000000e+00,-3.399999999999999911e+00,1.745819999999999794e+01,nan
1.999000000000000000e+03,4.000000000000000000e+00,1.500000000000000000e+01,1.050000000000000000e+02,3.352083333333332416e+00,9.099999999999999645e+00,-3.200000000000000178e+00,1.819979999999999976e+01,nan
1.999000000000000000e+03,4.000000000000000000e+00,1.600000000000000000e+01,1.060000000000000000e+02,4.191666666666666430e+00,9.500000000000000000e+00,-2.000000000000000000e+00,1.286459999999999937e+01,nan
1.999000000000000000e+03,4.000000000000000000e+00,1.700000000000000000e+01,1.070000000000000000e+02,5.272916666666666252e+00,1.200000000000000000e+01,5.000000000000000000e-01,1.670939999999999870e+01,nan
1.999000000000000000e+03,4.000000000000000000e+00,1.800000000000000000e+01,1.080000000000000000e+02,4.943750000000000533e+00,1.050000000000000000e+01,-5.000000000000000000e-01,1.515419999999999945e+01,nan
1.999000000000000000e+03,4.000000000000000000e+00,1.900000000000000000e+01,1.090000000000000000e+02,5.406250000000000000e+00,1.009999999999999964e+01,2.999999999999999889e-01,1.794780000000000086e+01,nan
1.999000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+01,1.100000000000000000e+02,8.981249999999999289e+00,1.150000000000000000e+01,5.000000000000000000e+00,2.858400000000000052e+00,3.627137321742065712e+00
1.999000000000000000e+03,4.000000000000000000e+00,2.100000000000000000e+01,1.110000000000000000e+02,1.035208333333333464e+01,1.259999999999999964e+01,9.099999999999999645e+00,1.136340000000000039e+01,nan
1.999000000000000000e+03,4.000000000000000000e+00,2.200000000000000000e+01,1.120000000000000000e+02,9.808333333333333570e+00,1.250000000000000000e+01,7.299999999999999822e+00,1.395720000000000027e+01,nan
1.999000000000000000e+03,4.000000000000000000e+00,2.300000000000000000e+01,1.130000000000000000e+02,9.068750000000001421e+00,1.059999999999999964e+01,7.200000000000000178e+00,4.607999999999999652e+00,nan
1.999000000000000000e+03,4.000000000000000000e+00,2.400000000000000000e+01,1.140000000000000000e+02,1.027291666666666536e+01,1.400000000000000000e+01,5.900000000000000355e+00,1.165499999999999936e+01,nan
1.999000000000000000e+03,4.000000000000000000e+00,2.500000000000000000e+01,1.150000000000000000e+02,9.797916666666667496e+00,1.409999999999999964e+01,4.400000000000000355e+00,1.434959999999999880e+01,nan
1.999000000000000000e+03,4.000000000000000000e+00,2.600000000000000000e+01,1.160000000000000000e+02,1.213125000000000142e+01,1.680000000000000071e+01,8.599999999999999645e+00,1.245960000000000001e+01,nan
1.999000000000000000e+03,4.000000000000000000e+00,2.700000000000000000e+01,1.170000000000000000e+02,1.287291666666666679e+01,1.750000000000000000e+01,9.199999999999999289e+00,1.740599999999999881e+01,1.981744600545161328e+00
1.999000000000000000e+03,4.000000000000000000e+00,2.800000000000000000e+01,1.180000000000000000e+02,1.229375000000000107e+01,1.780000000000000071e+01,6.700000000000000178e+00,2.519819999999999993e+01,nan
1.999000000000000000e+03,4.000000000000000000e+00,2.900000000000000000e+01,1.190000000000000000e+02,1.017708333333333393e+01,1.569999999999999929e+01,6.200000000000000178e+00,1.810620000000000118e+01,1.924017478974288098e+00
1.999000000000000000e+03,4.000000000000000000e+00,3.000000000000000000e+01,1.200000000000000000e+02,1.162291666666666856e+01,2.010000000000000142e+01,3.799999999999999822e+00,2.507399999999999807e+01,nan
1.999000000000000000e+03,5.000000000000000000e+00,1.000000000000000000e+00,1.210000000000000000e+02,1.239791666666666892e+01,1.869999999999999929e+01,4.299999999999999822e+00,1.723859999999999815e+01,nan
1.999000000000000000e+03,5.000000000000000000e+00,2.000000000000000000e+00,1.220000000000000000e+02,1.459999999999999432e+01,2.039999999999999858e+01,8.199999999999999289e+00,2.149019999999999797e+01,nan
1.999000000000000000e+03,5.000000000000000000e+00,3.000000000000000000e+00,1.230000000000000000e+02,1.473958333333333037e+01,2.110000000000000142e+01,6.700000000000000178e+00,2.219579999999999842e+01,nan
1.999000000000000000e+03,5.000000000000000000e+00,4.000000000000000000e+00,1.240000000000000000e+02,1.282291666666666607e+01,1.739999999999999858e+01,9.800000000000000711e+00,1.735920000000000130e+01,nan
1.999000000000000000e+03,5.000000000000000000e+00,5.000000000000000000e+00,1.250000000000000000e+02,1.236458333333333570e+01,1.639999999999999858e+01,9.099999999999999645e+00,1.320839999999999925e+01,nan
1.999000000000000000e+03,5.000000000000000000e+00,6.000000000000000000e+00,1.260000000000000000e+02,1.208541666666666536e+01,1.540000000000000036e+01,8.300000000000000711e+00,1.330560000000000009e+01,nan
1.999000000000000000e+03,5.000000000000000000e+00,7.000000000000000000e+00,1.270000000000000000e+02,1.091875000000000107e+01,1.409999999999999964e+01,5.900000000000000355e+00,5.493599999999999817e+00,nan
1.999000000000000000e+03,5.000000000000000000e+00,8.000000000000000000e+00,1.280000000000000000e+02,1.198124999999999574e+01,1.480000000000000071e+01,8.400000000000000355e+00,1.140659999999999918e+01,nan
1.999000000000000000e+03,5.000000000000000000e+00,9.000000000000000000e+00,1.290000000000000000e+02,1.483541666666666181e+01,1.819999999999999929e+01,1.169999999999999929e+01,2.076480000000000103e+01,nan
